action_conflict_count,action_id,contradiction_pixels_informative_but_zero_weight,maximum_competitor_difference_digest,nearest_competitor_difference_digest,nearest_conflicting_action_difference_digest,per_pixel_differing_digest,per_pixel_sharing_digest,positive_action_conflict_separation_count,positive_separation_weight_count,row_id,row_informative_pixel_count,row_informative_stable_count,row_informative_stable_positive_separation_count,stable_pixel_count
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:6921569b23d930b24e31562346c68a4c57a80c37ae8ca56736d00b07e88f577a,sha256:776b24e6e5e486372fc20479cc66257151d35c8d850a8ab3395400b06844b070,0,0,tank=1|target=2|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:4fd1b24e2e4eb295e1616b08fb4028095c5316463ccd83aef376a4d8060b4910,sha256:b314cd83c2597b1a45bdbaf0ee845b8dfafda688cb3ca1038ac3588baa798b88,0,0,tank=1|target=3|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:4fd1b24e2e4eb295e1616b08fb4028095c5316463ccd83aef376a4d8060b4910,sha256:b314cd83c2597b1a45bdbaf0ee845b8dfafda688cb3ca1038ac3588baa798b88,0,0,tank=1|target=3|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:85042893418a9053c45f1503cd7848082e0435637c043f2d7959c0844b61528a,sha256:944cae5371c9a11b32cd4288627d0e83400d41a20edc50703874fd49f0fd59a4,0,0,tank=1|target=4|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:85042893418a9053c45f1503cd7848082e0435637c043f2d7959c0844b61528a,sha256:944cae5371c9a11b32cd4288627d0e83400d41a20edc50703874fd49f0fd59a4,0,0,tank=1|target=4|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:6229e9fbe91123b3318f560a91bb1769c1c11937c2751ce613bc5e137c03188c,sha256:54c535af68cfd499d86236a9d8d36dc6af98bacc927072beb2836a34c234c8d2,0,0,tank=1|target=5|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:6229e9fbe91123b3318f560a91bb1769c1c11937c2751ce613bc5e137c03188c,sha256:54c535af68cfd499d86236a9d8d36dc6af98bacc927072beb2836a34c234c8d2,0,0,tank=1|target=5|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:9ad836939ea50d9c8b2d66f5bc5c9ac8985bb4fecf7e0eb77957fbed126399d6,sha256:17633c311972b562fb7b43ad6ba5aa335985797dac9dd6c1f6579140c0b6dab5,0,0,tank=1|target=6|cooldown=0,109,100,0,434
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:9ad836939ea50d9c8b2d66f5bc5c9ac8985bb4fecf7e0eb77957fbed126399d6,sha256:17633c311972b562fb7b43ad6ba5aa335985797dac9dd6c1f6579140c0b6dab5,0,0,tank=1|target=6|cooldown=1,109,100,0,434
109,STAY,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:2ff8bdea6e41f4bf8c70fb52f41ec9d728cc4e026fb14de0a9b05bb98208b0fd,sha256:7d180d873d31a0185fc25a3b3b73a6b445d7b9bd6f337996ff2de291e683f16f,0,0,tank=1|target=none|cooldown=0,109,103,0,438
