action_conflict_pixel_count,action_id,closure_failure_reason,closure_status,development_family_ids,development_observation_count,effective_informative_stable_mass,informative_pixel_count,mask_payload_digest,prototype_present,row_id,stable_pixel_count
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:b4f18c9587c085ebca927700443014baab89ae2f7ea6502c9cd87f0931b5f6f3,True,tank=2|target=3|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:d0a9e1ec735cb923a7a2693ccf33b244e7712c624fdd291eb0834c827b2c0343,True,tank=2|target=3|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:c164ab3c6632e4a97b32646c3eb41daa6e7ff410e396c2d26ec83309ece2944e,True,tank=2|target=4|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:89b212dfbe682ab9f1ced4430e247709b2a06d73c371c0ff6bed3313fd205ea2,True,tank=2|target=4|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:0d64478f75eb724594e4dbc8eb4e981caab09b76bce7123fba41f61476f88e4c,True,tank=2|target=5|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:21b4bf443747660ba0ff657c8278cd3d7d196eb0034c1182f229664fcbfcb121,True,tank=2|target=5|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47306,109,sha256:f155ef9ace633f4b13f4bb13234d558ecde0af7936b2d52d40eadb1e02637f43,True,tank=2|target=6|cooldown=0,434
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47306,109,sha256:bdde0f28b010f0f1a294ac58fb7e6b96b11b5993ca0ad5f32f19799346755a6b,True,tank=2|target=6|cooldown=1,434
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47742,109,sha256:1bcbe0bfea30758d61b58dcc302df1ce43cfbe898ca7c4800b098e9f5a6344db,True,tank=2|target=none|cooldown=0,438
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47742,109,sha256:226fa5589dfaf0f704dd24b68fc5eb4881d1c52b6e2a1cff2a2dc85766a63de8,True,tank=2|target=none|cooldown=1,438
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:0b23e7ecb233610df0beb7b43c7930a8ae2586a0fa222ce853ebe78512028bda,True,tank=3|target=0|cooldown=0,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:a22e79bbf1fba0d25b26cb5d7e5ba8a241016eb6e3c09fd905e242de814e87e6,True,tank=3|target=0|cooldown=1,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:eca7bbb14d5615f3ae7af3dc9bfce51b8c5c6be0d6490f9be9be061584cd4cb5,True,tank=3|target=1|cooldown=0,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:8933d7664e23cad9556ac7881841403743cd9bac017d9ce705dd4fe93dc1aaad,True,tank=3|target=1|cooldown=1,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:ad2a5542136f255b6a4bc38a0bb05aaaa7c9d191c3ff64c489768d792ce99c0d,True,tank=3|target=2|cooldown=0,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:3e77a441c70bde320da6cdbaa66f43223e828a1353c6b03f1163f0d5797ee0ab,True,tank=3|target=2|cooldown=1,432
109,FIRE,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:99b6d42821127dac57b1fdf7c47f185d22438a417c0646bb4671566b447287f7,True,tank=3|target=3|cooldown=0,432
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:ae5b30d41f4b6099ced1108c76eba808d71af2c9f6a26146a0c08bfa93f75314,True,tank=3|target=3|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:a9ebd74e43ac5f8d5fcb446d1b926ba131ab276ed796a11d397fac3703d3df58,True,tank=3|target=4|cooldown=0,432
