distance_quantile,margin_quantile,threshold,ambiguity_margin,feasible,calibration_benign_coverage,calibration_false_accepts,final_benign_coverage,final_false_accepts
0.7,0.4,0.011197983658180852,0.6127366469206249,False,0.20461309523809523,186,0.32589285714285715,0
0.7,0.5,0.011197983658180852,0.6070702875584469,False,0.20907738095238096,312,0.40625,0
0.7,0.6,0.011197983658180852,0.5859647871588606,False,0.24479166666666666,315,0.41294642857142855,0
0.7,0.7,0.011197983658180852,0.577387469033052,False,0.26711309523809523,336,0.453125,0
0.7,0.8,0.011197983658180852,0.5448283242937713,False,0.27157738095238093,336,0.453125,0
0.7,0.9,0.011197983658180852,0.22423151102680308,False,0.28720238095238093,360,0.484375,0
0.7,1.0,0.011197983658180852,0.06930393818799112,False,0.3072916666666667,384,0.515625,0
0.8,0.0,0.0,0.6782577226161598,True,0.0,0,0.0,0
0.8,0.1,0.0,0.6491458071319933,False,0.013392857142857142,18,0.013392857142857142,0
0.8,0.2,0.0,0.6385610012681884,False,0.09598214285714286,147,0.0974702380952381,0
0.8,0.3,0.0,0.6162399051622468,False,0.109375,165,0.11086309523809523,0
0.8,0.4,0.0,0.6127366469206249,False,0.203125,186,0.21354166666666666,0
0.8,0.5,0.0,0.6070702875584469,False,0.203125,312,0.21354166666666666,0
0.8,0.6,0.0,0.5859647871588606,False,0.20535714285714285,315,0.21651785714285715,0
0.8,0.7,0.0,0.577387469033052,False,0.21875,336,0.234375,0
0.8,0.8,0.0,0.5448283242937713,False,0.21875,336,0.234375,0
0.8,0.9,0.0,0.22423151102680308,False,0.234375,360,0.25,0
0.8,1.0,0.0,0.06930393818799112,False,0.25,384,0.265625,0
0.9,0.0,0.0,0.6782577226161598,True,0.0,0,0.0,0
0.9,0.1,0.0,0.6491458071319933,False,0.013392857142857142,18,0.013392857142857142,0
0.9,0.2,0.0,0.6385610012681884,False,0.09598214285714286,147,0.0974702380952381,0
0.9,0.3,0.0,0.6162399051622468,False,0.109375,165,0.11086309523809523,0
0.9,0.4,0.0,0.6127366469206249,False,0.203125,186,0.21354166666666666,0
0.9,0.5,0.0,0.6070702875584469,False,0.203125,312,0.21354166666666666,0
0.9,0.6,0.0,0.5859647871588606,False,0.20535714285714285,315,0.21651785714285715,0
0.9,0.7,0.0,0.577387469033052,False,0.21875,336,0.234375,0
0.9,0.8,0.0,0.5448283242937713,False,0.21875,336,0.234375,0
0.9,0.9,0.0,0.22423151102680308,False,0.234375,360,0.25,0
0.9,1.0,0.0,0.06930393818799112,False,0.25,384,0.265625,0
1.0,0.0,0.0,0.6782577226161598,True,0.0,0,0.0,0
1.0,0.1,0.0,0.6491458071319933,False,0.013392857142857142,18,0.013392857142857142,0
1.0,0.2,0.0,0.6385610012681884,False,0.09598214285714286,147,0.0974702380952381,0
